,If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
3142843830268077617,Building Flipkart Lite: A Progressive Web App,The Netflix Tech Blog: Netflix Billing Migration to AWS,"Kotlin in Production - What works, Whats broken",The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,Notes on Reactive Programming Part I: The Reactive Landscape,Comparing React.js to Vue.js for dynamic tabular data
3149164017776669829,Mobile marketing statistics 2016,An operating model for company-wide agile development,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Why image recognition is about to transform business,Confused by blockchains? Revolution vs Evolution,Why the customer experience matters
3170775058142440102,Criadas para casar,Pabllo Vittar reina no novo comercial da Skol para os Jogos Olímpicos,#iLookLikeAnEngineer: One Year Later,A importância dos filmes de mulherzinha - Capitolina,Promoting gender equality through emoji �� ��,O homofóbico dentro de cada um
3180828616327439381,Governo define cronograma para plano nacional de Internet das Coisas,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Itaú é pioneiro do blockchain,Nubank começa a testar seu programa de fidelidade - Empresas Tech,"Elopar lança o ""Digio"", cartão para brigar com Nubank","""Consultorias promovem a desvalorização do nosso negócio"" - Meio & Mensagem"
3205047378909988692,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,Announcing .NET Core 1.0,​Microsoft and Canonical partner to bring Ubuntu to Windows 10 | ZDNet,Notes on Reactive Programming Part I: The Reactive Landscape,"Google, Amazon and the upcoming battle over AI Assistants",The Netflix Tech Blog: Netflix Billing Migration to AWS
3262705634545542432,On Orchestrated Microservices - Built to Adapt,Combining Spring Boot and JDBI,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,Building Spring Cloud Microservices That Strangle Legacy Systems,"Kotlin in Production - What works, Whats broken",Microservices: Real Architectural Patterns
3268064929368559554,Iniciando com o Docker: dicas práticas para começar a usar agora mesmo - Tableless,Iniciando com o Docker: Criando suas próprias imagens - Tableless,Why Is Learning Drupal Hard?,Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,Criando ícones animados no Android,"Ganhe 6 meses de acesso ao Pluralsight, maior plataforma de treinamento online"
3269302169678465882,The barbell effect of machine learning.,The AI business landscape,Making open source data more available,"Hello, TensorFlow!",Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Why image recognition is about to transform business
3273084325487543386,The surprising truth about which countries lead in digital,MOBILE TIME - Youse: seguradora digital se diferencia através da interface móvel,55 fornecedores de TI que apresentarão novidades no Ciab 2016,The new tech talent you need to succeed in digital,So you want to sell to banks?,Can Accenture Take Over Advertising?
3294074907209583622,How will bots make money? Here are 7 business models,Why Deep Learning Is Suddenly Changing Your Life,The return of the machinery question,Artificial intelligence produces realistic sounds that fool humans,5 reasons your employees aren't sharing their knowledge,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel"
3301147467076954944,The Developer's Midlife Crisis: What's Next?,It's The Future,How to Design a Walkthrough That Users Will Read,Google Cloud Platform's preemptible VMs are now up to 33% cheaper,The Importance of Code Reviews,Client-side ranking to more efficiently show people stories in feed
3306277069425849869,Google segue Microsoft e lança ferramenta analítica grátis,Two Different Sales Motions . . . .,Artificial intelligence produces realistic sounds that fool humans,The return of the machinery question,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,Como a Microsoft está trabalhando com o conceito de IoT - Startupi
3320201327008235211,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,The AI business landscape,Google Cloud Goes to the Farm,Designing smart notifications
3322348437880079228,Ultimate AI battle - Apple vs. Google,Joel on Software,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Ordering coffee in Italy: the 10 commandments,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,How Mark Zuckerberg Led Facebook's War to Crush Google Plus
3367026768872537336,Seja esperto no trabalho: Melhore a comunicação na empresa com 12 robôs,Itaú segue tendência das fintechs e se torna primeiro banco tradicional a permitir abertura de contas por app - Startupi,The moment when you realize every server in the world is vulnerable - Free Code Camp,Evernote anuncia integração com Google Drive | Google Discovery,The technology behind preview photos,Learning How to Learn: The Most Important Developer Skill - Free Code Camp
3382511589554885024,Facebook's WhatsApp does something very different than Google,Accidental discovery could help batteries last years longer,Effective learning through code workshops | Box Blog,An overview of web service solutions in Drupal 8,A New Number Format for Computers Could Nuke Approximation Errors for Good,Google may be considering Swift for use on Android
3467834993860080188,15 Interesting JavaScript and CSS Libraries for October 2016,"How to build a robot that ""sees"" with $100 and TensorFlow",15 Awesome Sublime Text Plugins For Web Development,Android irá recomendar aplicativos baseado na localização | Google Discovery,big data = real time,Programa de Demissão Voluntária na Moto Honda tem mais de 500 adesões
3472032465864014134,Pabllo Vittar reina no novo comercial da Skol para os Jogos Olímpicos,Netflix emociona com vídeo destacando personagens LGBT,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,#iLookLikeAnEngineer: One Year Later,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção","No dia das mães, Avon lança campanha com mãe de jovem gay"
3495098006178009360,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',The technology behind preview photos,Evernote anuncia integração com Google Drive | Google Discovery,Closure Compiler in JavaScript,Testes unitários vs aceitação - Android Dev BR,Squads não-suicidas - Hipsters #08
3569727790804487273,DualShock 4 Repair,Acesse a versão Material Design do YouTube | Google Discovery,Microsoft expands its support for Docker containers,How I sped up the initial render of my Polymer app by 86%,"Autofill: What web devs should know, but don't",Aplicação de visão computacional com OpenCV
3579921471626387620,Dicionário de Segurês,"Pedágio das rodovias estaduais de SP sobe 9,32% na sexta-feira - O Liberal",Liberty vai adotar telemetria e baratear seguro para bons motoristas,Python Is Not Java (dirtSimple.org),Ouça a música criada pela inteligência artificial do Google | Google Discovery,Aplicações da Inteligência artificial | Endeavor Brasil
3598164602856140626,"Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!",Notes on Reactive Programming Part I: The Reactive Landscape,The Netflix Tech Blog: Netflix Billing Migration to AWS,Serverless Architectures,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering
3608243634452078989,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista",Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,Agronegócio mantém crescimento com tecnologia - inova.jor,Programa de Demissão Voluntária na Moto Honda tem mais de 500 adesões,Will blockchain drive the fourth Industrial Revolution?,Este texto do Ranieri é a melhor coisa que você lerá hoje
3611701510490148233,The Biggest Crowdfunding Project Ever Was Supposed to Create Manager-free Companies. But It's a Mess,Confused by blockchains? Revolution vs Evolution,An operating model for company-wide agile development,Staying one step ahead at Pixar: An interview with Ed Catmull,Jeff Seguros: SEGUROS E GAMES,Diane Greene wants to put the enterprise front and center of Google Cloud strategy
3616722904601574426,"Explorando o novo .NET multiplataforma: ASP.NET Core, .NET Core e EF Core",Why Learning Angular 2 Was Excruciating,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,Microservices: Real Architectural Patterns,SOA com microserviços - Sensedia,My experience with Google's Associate Android Developer Certification
3660989387512978561,Discutindo Devops na Prática,LPIC-OT DevOps Engineer | Linux Professional Institute,What's the Best Programming Language to Learn in 2017?,Gartner: em 2020 não haverá mais aplicativos,Java 8 Streams - A Deeper Approach About Performance Improvement,Labelling automated builds on Docker Hub - Microscaling Systems
3689128258624052102,Deputada mais jovem da Câmara silencia o plenário com lucidez do discurso (veja o vídeo),What Apple's differential privacy means for your data and the future of machine learning,Iniciando com o Docker: Criando suas próprias imagens - Tableless,Why Is Learning Drupal Hard?,Comparing IoT Platforms: Compare 4 IoT platform for IoT projects,Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais
3716124214746295857,Aprendizado de máquina do Google pode detectar retinopatia diabética | Google Discovery,Nova pulseira tecnológica avisa se você já bebeu demais,Burger King aceita pedidos via mensagens no Facebook - Startupi,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,Google lança experimentos com inteligência artificial | Google Discovery,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!"
3739926497176994524,Resenha - A Chegada,gotwarlost/istanbul,Apenas US$ 59: Nintendo anuncia o relançamento do Nintendinho com 30 jogos na memória,How Do Top Android Developers QA Test Their Apps?,Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog,"No Brasil, '25% dos celulares ainda são 'Burrofones'"
3779434447835779494,"Hello, a nova rede social do Orkut, está liberada no Brasil","Google launches Springboard, an AI-powered assistant for its enterprise customers","Google acquires Synergyse, an interactive training service for Google Apps",Pega até em marte! TP-Link lança extensor de WiFi que tem alcance de 3 km²!,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,Touch (TV Series 2012-2013)
